time	        ay (m/s^2)
4,624716	0,19
4,627435	0,1909
4,632209	0,206
4,637567	0,2306
4,641999	0,2478
4,646811	0,2553
4,65554	        0,2415
4,656524	0,2373
4,661408	0,2307
4,665872	0,2147
4,675205	0,2011
4,67584	        0,1782
4,682018	0,1625
4,689696	0,147
4,690386	0,141
4,694774	0,1328
4,699834	0,1364
4,705073	0,1543
4,709412	0,1698
4,713956	0,1756
4,723183	0,1767
4,728609	0,1825
4,733027	0,1954
4,738609	0,2012
4,742759	0,2069
4,747532	0,1912
4,755188	0,1637
4,757046	0,1365
4,761972	0,1262
4,766537	0,1254
4,775249	0,1364
4,782157	0,1568
4,782878	0,1699
4,790818	0,1662
4,791506	0,1531
4,795434	0,1447
4,800845	0,1389
4,805292	0,133
4,810295	0,1391
4,814544	0,1523
4,821887	0,1535
4,824422	0,1499
4,8289	        0,1559
4,833963	0,1596
4,839034	0,156
4,848744	0,1478
4,858791	0,1658
4,859471	0,1669
4,86573	        0,1491
4,867539	0,1386
4,87336	        0,1329
4,877164	0,132
4,881995	0,143
4,888115	0,1539
4,893795	0,1576
4,898377	0,1589
4,907626	0,1554
4,908257	0,1449
4,912248	0,1462
4,915413	0,1428
4,929745	0,1346
4,930425	0,1193
4,930784	0,0874
4,934616	0,0626
4,941062	0,0449
4,943927	0,0436
4,948793	0,0397
4,955235	0,0286
4,958741	0,0176
4,968037	0,0282
4,972823	0,1504
4,977696	0,1673
4,982197	0,1773
4,987883	0,1778
4,991942	0,1691
4,996828	0,1797
5,001438	0,2143
5,006516	0,2368
5,011108	0,2333
5,015806	0,2158
5,021393	0,1843
5,025523	0,1532
5,030564	0,1223
5,038068	0,0894
5,040191	0,0566
5,044793	0,024
5,049454	0,0129
5,055656	-0,0149
5,059709	-0,0022
5,064059	0,0505
5,076786	0,0576
5,077295	0,0455
5,07941	        0,0381
5,088902	0,0426
